antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'60 cake cases dolly girl design'}),frozenset({'pack of 72 retrospot cake cases'}),0.01922241529105126,0.055875325803649,0.010262814943527368,0.5338983050847458,9.555171221030786,1.0,0.009188756226406834,2.025576573730353,0.9128926290923854,0.15829145728643215,0.5063134057882716,0.35878588723625043
frozenset({'pack of 72 retrospot cake cases'}),frozenset({'60 cake cases dolly girl design'}),0.055875325803649,0.01922241529105126,0.010262814943527368,0.1836734693877551,9.555171221030786,1.0,0.009188756226406834,1.2014525412684622,0.9483330457621594,0.15829145728643215,0.16767415636390756,0.35878588723625043
frozenset({'60 cake cases vintage christmas'}),frozenset({'set of 20 vintage christmas napkins'}),0.025304083405734146,0.02655299739357081,0.010154213727193745,0.4012875536480687,15.112702633911722,1.0,0.009482314466474588,1.6259007283677278,0.9580736746458522,0.24348958333333331,0.3849562998819006,0.3918503207913145
frozenset({'set of 20 vintage christmas napkins'}),frozenset({'60 cake cases vintage christmas'}),0.02655299739357081,0.025304083405734146,0.010154213727193745,0.3824130879345603,15.112702633911722,1.0,0.009482314466474588,1.5782327921013113,0.9593028649463406,0.24348958333333331,0.3663799123901316,0.3918503207913145
frozenset({'60 teatime fairy cake cases'}),frozenset({'72 sweetheart fairy cake cases'}),0.03567549956559513,0.027204604691572546,0.012054735013032145,0.3378995433789954,12.420674632470218,1.0,0.011084197150175761,1.4692564936037626,0.9535058736871902,0.23717948717948714,0.31938364448046774,0.3905066579170426
frozenset({'72 sweetheart fairy cake cases'}),frozenset({'60 teatime fairy cake cases'}),0.027204604691572546,0.03567549956559513,0.012054735013032145,0.44311377245508976,12.420674632470218,1.0,0.011084197150175761,1.7316364685219956,0.9452029478543573,0.23717948717948714,0.4225115847476172,0.3905066579170426
frozenset({'60 teatime fairy cake cases'}),frozenset({'pack of 60 dinosaur cake cases'}),0.03567549956559513,0.028725021720243268,0.012109035621198957,0.33942161339421617,11.81623522167842,1.0,0.011084256121296708,1.470340232096314,0.9492351127717216,0.2315680166147456,0.3198853039787491,0.38048585395608725
frozenset({'pack of 60 dinosaur cake cases'}),frozenset({'60 teatime fairy cake cases'}),0.028725021720243268,0.03567549956559513,0.012109035621198957,0.4215500945179584,11.81623522167842,1.0,0.011084256121296708,1.6670838585941183,0.9424423529777495,0.2315680166147456,0.40015015150868416,0.38048585395608725
frozenset({'60 teatime fairy cake cases'}),frozenset({'pack of 60 pink paisley cake cases'}),0.03567549956559513,0.03632710686359687,0.015204170286707211,0.4261796042617961,11.73172435289273,1.0,0.013908182601575633,1.6793981188080023,0.9486029216574292,0.26768642447418733,0.40454857677834205,0.42235736565855125
frozenset({'pack of 60 pink paisley cake cases'}),frozenset({'60 teatime fairy cake cases'}),0.03632710686359687,0.03567549956559513,0.015204170286707211,0.41853512705530643,11.73172435289273,1.0,0.013908182601575633,1.6584398220838479,0.9492443390834668,0.26768642447418733,0.397023644340927,0.42235736565855125
frozenset({'60 teatime fairy cake cases'}),frozenset({'pack of 72 retrospot cake cases'}),0.03567549956559513,0.055875325803649,0.017919200695047783,0.502283105022831,8.989354384937275,1.0,0.015925820533612217,1.896911042651384,0.9216371724452136,0.24336283185840704,0.47282715029047306,0.4114914067388208
